dumbbell-sumo-goblet-squat,Dumbbell,
band-half-squat,Bands,"back_glutes (40.0%), back_hamstrings (40.0%)"
standing-balance-lateral-reach,Bodyweight,
sumo-squat,Bodyweight,
bodyweight-squat-hold,Bodyweight,"back_glutes (40.0%), back_hamstrings (40.0%)"
dumbbell-split-squat,Dumbbell,back_hamstrings (40.0%)
kettlebell-half-squat,Kettlebell,"back_glutes (40.0%), back_hamstrings (40.0%)"
bosu-burpee,Bosu,"back_calves (40.0%), back_hamstrings (40.0%), front_abs (40.0%), front_shoulders (40.0%)"
single-kettlebell-goblet-squat,Kettlebell,"back_hamstrings (40.0%), front_shoulders (40.0%)"
lunge-to-donkey-kick,Bodyweight,
landmine-front-squat,"Landmine, Barbell","back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-jump-lunge,Dumbbell,back_hamstrings (40.0%)
barbell-forward-lunge-hold,Barbell,
kettlebell-sumo-squat,Kettlebell,
spin-bike,Bodyweight,"back_glutes (40.0%), back_hamstrings (40.0%)"
kettlebell-wall-sit-with-curl,Kettlebell,back_glutes (40.0%)
bodyweight-squat,Bodyweight,"back_glutes (40.0%), back_hamstrings (40.0%)"
dumbbell-power-step-up,"Box, Dumbbell",back_glutes (40.0%)
single-leg-leg-press,Machine,
barbell-reverse-half-lunge,Barbell,
dumbbell-cossack-squat,Dumbbell,"back_hip_abductors (40.0%), back_hip_adductors (40.0%), back_hamstrings (40.0%), front_hip_abductors (40.0%), front_hip_adductors (40.0%)"
dumbbell-jump-squat,Dumbbell,"back_calves (40.0%), back_hamstrings (40.0%)"
front-rack-box-squat,Box,front_hip_flexors (40.0%)
barbell-zercher-squat,Barbell,back_lower_back (40.0%)
med-ball-overhead-squat,Medball,"back_glutes (40.0%), back_hamstrings (40.0%), front_shoulders (40.0%)"
bodyweight-step-down,Box,
bosu-step-over,Bosu,back_glutes (40.0%)
band-sumo-squat,Bands,
couch-stretch,Bodyweight,
bodyweight-forward-lunge-hold,Bodyweight,
kettlebell-front-rack-lunge,Kettlebell,front_hip_flexors (40.0%)
band-split-squat,Bands,back_hamstrings (40.0%)
west-side-bodyweight-box-squat,Bodyweight,
med-ball-pistol-squat,Medball,
kettlebell-squat-hold,Kettlebell,"back_glutes (40.0%), back_hamstrings (40.0%)"
dumbbell-half-squat,Dumbbell,"back_glutes (40.0%), back_hamstrings (40.0%)"
med-ball-power-step-up,"Box, Medball",back_glutes (40.0%)
trx-squat,trx,"back_glutes (40.0%), back_hamstrings (40.0%)"
box-squat,Bodyweight,back_hamstrings (40.0%)
med-ball-lunge-to-donkey-kick,Medball,
bodyweight-half-squat,Bodyweight,"back_glutes (40.0%), back_hamstrings (40.0%)"
west-side-med-ball-box-squat,Medball,
med-ball-plie-squat-to-calf-raise,Medball,"back_calves (40.0%), back_glutes (40.0%)"
pistol-squat,Bodyweight,
dumbbell-lateral-lunge,Dumbbell,"back_hip_abductors (40.0%), front_hip_abductors (40.0%)"
dumbbell-overhead-squat,Dumbbell,"back_glutes (40.0%), back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-goblet-squat,Dumbbell,"back_hamstrings (40.0%), front_shoulders (40.0%)"
