Exercise,Muscle Groups,Engagement Percentages,Equipment
kettlebell-floor-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']",['Kettlebell']
kneeling-overhead-oblique-stretch,"['back_lats', 'front_obliques']","['100.0%', '100.0%']",['Bodyweight']
elevated-jackknife-crunch,"['front_abs', 'front_hip_flexors', 'front_obliques']","['100.0%', '100.0%', '40.0%']",['Bench']
floor-i,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Bodyweight']
dumbbell-hip-thrust-hold,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '40.0%', '40.0%']","['Bench', 'Dumbbell']"
seated-cable-lumberjack-high-to-low,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Cables']
trx-pistol-squat-jump,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['trx']
hand-roller-outer-quad,"['back_hip_abductors', 'front_hip_abductors', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Roller']
high-knee,"['back_glutes', 'front_abs', 'front_hip_flexors']","['40.0%', '40.0%', '100.0%']",['Bodyweight']
half-cable-curl,['front_biceps'],['100.0%'],['Cables']
butterfly-stretch,"['back_hip_adductors', 'front_hip_adductors', 'front_hip_flexors']","['100.0%', '100.0%', '100.0%']",['Bodyweight']
med-ball-overhead-lunge-hold,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '100.0%']",['Medball']
dip-position-knee-tuck,"['back_hamstrings', 'front_abs', 'front_hip_flexors', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Dip Bar']
kettlebell-bulgarian-split-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']","['Box', 'Kettlebell']"
band-shrug,"['back_hamstrings', 'front_traps']","['100.0%', '100.0%']",['Bands']
reverse-plank-leg-raise,"['back_glutes', 'back_hamstrings', 'front_abs', 'front_hip_flexors', 'front_obliques', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '100.0%', '40.0%', '40.0%']",['Bodyweight']
kettlebell-step-up,"['back_glutes', 'front_quads']","['100.0%', '100.0%']","['Box', 'Kettlebell']"
slider-cross-body-knee-in,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%']",['Bodyweight']
