Exercise,Muscle Groups,Engagement Percentages,Equipment
band-v-up,['front_abs'],['100.0%'],['Bands']
kettlebell-hip-thrust,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '40.0%', '40.0%']","['Bench', 'Kettlebell']"
weighted-hammer-pull-up,"['back_lats', 'front_biceps']","['100.0%', '40.0%']","['Pull-Up Bar', 'Hammer']"
one-arm-cable-plank-overhead-row,"['back_lats', 'back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '40.0%', '40.0%']",['Cables']
bosu-high-plank,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['100.0%', '100.0%', '40.0%', '100.0%']",['Bosu']
side-plank-dip,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%']",['Bodyweight']
russian-twist,"['front_abs', 'front_obliques']","['100.0%', '100.0%']",['Bodyweight']
band-floor-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']",['Bands']
knee-tap,['front_hip_flexors'],['100.0%'],['Bodyweight']
half-kneeling-kettlebell-curl-to-press,"['back_hamstrings', 'front_biceps', 'front_shoulders']","['100.0%', '100.0%', '100.0%']",['Kettlebell']
sumo-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Bodyweight']
bodyweight-squat-hold,"['back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '40.0%', '100.0%']",['Bodyweight']
barbell-hip-thrust-hold,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '40.0%', '40.0%']","['Barbell', 'Bench']"
single-arm-cable-chest-fly,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']",['Cables']
dumbbell-split-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Dumbbell']
kettlebell-half-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '40.0%', '100.0%']",['Kettlebell']
top-half-kettlebell-curl,['front_biceps'],['100.0%'],['Kettlebell']
top-half-dumbbell-curl,['front_biceps'],['100.0%'],['Dumbbell']
med-ball-v-up,['front_abs'],['100.0%'],['Medball']
machine-push-down,['back_hamstrings'],['100.0%'],['Machine']
yoga-ball-med-ball-bench-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']","['Bench', 'Yoga Ball', 'Medball']"
bosu-burpee,"['back_calves', 'back_glutes', 'back_hamstrings', 'front_abs', 'front_chest', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '40.0%', '100.0%', '100.0%', '40.0%']",['Bosu']
bridge-stretch,"['back_lower_back', 'back_hamstrings', 'front_abs', 'front_hip_flexors', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '100.0%', '100.0%', '100.0%']",['Bodyweight']
yoga-ball-leg-curl,['back_hamstrings'],['100.0%'],['Yoga Ball']
trx-assisted-pull-up,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['trx']
band-upright-row,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '40.0%']",['Bands']
single-kettlebell-goblet-squat,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '40.0%']",['Kettlebell']
lunge-to-donkey-kick,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Bodyweight']
landmine-front-squat,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '40.0%']","['Landmine', 'Barbell']"
dumbbell-chair-leg-raise,"['front_abs', 'front_hip_flexors']","['100.0%', '100.0%']",['Dumbbell']
single-kettlebell-crunch-and-press,"['back_hamstrings', 'front_abs', 'front_chest', 'front_shoulders']","['100.0%', '100.0%', '40.0%', '100.0%']",['Kettlebell']
cable-standing-iyt,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Cables']
dumbbell-jump-lunge,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Dumbbell']
band-dumbbell-pallof-punch,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%']","['Bands', 'Dumbbell']"
cable-leg-adduction,"['back_hip_adductors', 'front_hip_adductors']","['100.0%', '100.0%']",['Cables']
single-kettlebell-v-up,['front_abs'],['100.0%'],['Kettlebell']
assisted-hammer-pull-up,"['back_lats', 'front_biceps']","['100.0%', '40.0%']","['Machine', 'Hammer']"
flutter-kick,"['front_abs', 'front_hip_flexors', 'front_obliques']","['100.0%', '100.0%', '40.0%']",['Bodyweight']
dumbbell-renegade-row,"['back_lats', 'back_hamstrings', 'front_abs', 'front_biceps', 'front_shoulders']","['100.0%', '100.0%', '40.0%', '40.0%', '100.0%']",['Dumbbell']
assisted-pull-up,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Machine']
cable-lateral-raise,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Cables']
barbell-forward-lunge-hold,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Barbell']
seated-med-ball-overhead-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Medball']
dumbbell-v-up-hold,['front_abs'],['100.0%'],['Dumbbell']
kettlebell-sumo-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Kettlebell']
spin-bike,"['back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '40.0%', '100.0%']",['Bodyweight']
kettlebell-wall-sit-with-curl,"['back_glutes', 'front_biceps', 'front_quads']","['40.0%', '100.0%', '100.0%']",['Kettlebell']
kettlebell-double-windmill,"['back_lower_back', 'back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['100.0%', '40.0%', '40.0%', '100.0%', '40.0%']",['Kettlebell']
bosu-push-up,"['back_hamstrings', 'front_chest']","['40.0%', '100.0%']",['Bosu']
bodyweight-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '40.0%', '100.0%']",['Bodyweight']
dumbbell-kickback,['back_hamstrings'],['100.0%'],['Dumbbell']
dumbbell-power-step-up,"['back_glutes', 'front_quads']","['40.0%', '100.0%']","['Box', 'Dumbbell']"
med-ball-superman-hold,"['back_lower_back', 'back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '40.0%', '40.0%', '40.0%']",['Medball']
split-stance-cable-row,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Cables']
kettlebell-lying-curl,['front_biceps'],['100.0%'],['Kettlebell']
bodyweight-leg-adduction,"['back_hip_adductors', 'front_hip_adductors']","['100.0%', '100.0%']",['Bodyweight']
single-leg-leg-press,"['back_glutes', 'front_quads']","['100.0%', '100.0%']",['Machine']
band-lumberjack-squat,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%', '40.0%']",['Bands']
dumbbell-side-bend,['front_obliques'],['100.0%'],['Dumbbell']
barbell-reverse-half-lunge,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Barbell']
kettlebell-curl,['front_biceps'],['100.0%'],['Kettlebell']
dumbbell-cossack-squat,"['back_glutes', 'back_hip_abductors', 'back_hip_adductors', 'back_hamstrings', 'front_hip_abductors', 'front_hip_adductors', 'front_quads']","['100.0%', '40.0%', '40.0%', '40.0%', '40.0%', '40.0%', '100.0%']",['Dumbbell']
med-ball-med-ball-throw,"['back_hamstrings', 'front_quads', 'front_shoulders']","['100.0%', '100.0%', '100.0%']",['Medball']
dumbbell-jump-squat,"['back_calves', 'back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '100.0%', '40.0%', '100.0%']",['Dumbbell']
dumbbell-front-raise,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Dumbbell']
single-leg-bodyweight-calf-raise,['back_calves'],['100.0%'],['Bodyweight']
seated-band-lumberjack,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Bands']
bodyweight-standing-fire-hydrant,"['back_hip_abductors', 'front_hip_abductors']","['100.0%', '100.0%']",['Bodyweight']
kettlebell-bench-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']","['Bench', 'Kettlebell']"
front-rack-box-squat,"['back_glutes', 'front_hip_flexors', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Box']
alternating-kettlebell-lateral-raise,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Kettlebell']
spiderman,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['100.0%', '100.0%', '40.0%', '100.0%']",['Bodyweight']
ladder-high-knee,"['back_calves', 'front_hip_flexors']","['40.0%', '100.0%']",['Ladder']
kettlebell-lunge-to-lateral-raise,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['100.0%', '100.0%', '100.0%', '100.0%']",['Kettlebell']
barbell-zercher-squat,"['back_glutes', 'back_lower_back', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Barbell']
med-ball-curl-to-press,"['back_hamstrings', 'front_biceps', 'front_shoulders']","['100.0%', '100.0%', '100.0%']",['Medball']
hand-roller-hamstring,['back_hamstrings'],['100.0%'],['Roller']
knee-cover-crunch,['front_abs'],['100.0%'],['Bodyweight']
single-kettlebell-overhead-row-to-crunch,"['back_lats', 'back_hamstrings', 'front_abs', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '40.0%']",['Kettlebell']
kettlebell-hammer-curl,['front_biceps'],['100.0%'],"['Kettlebell', 'Hammer']"
palm-up-forearm-stretch,"['back_forearms', 'front_forearms']","['100.0%', '100.0%']",['Bodyweight']
single-kettlebell-one-arm-row,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Kettlebell']
floor-t,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Bodyweight']
med-ball-overhead-squat,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%']",['Medball']
trx-horizontal-to-vertical-row,"['back_lats', 'back_hamstrings', 'front_biceps', 'front_shoulders', 'front_traps']","['100.0%', '40.0%', '40.0%', '40.0%', '40.0%']",['trx']
band-side-bend,['front_obliques'],['100.0%'],['Bands']
bodyweight-step-down,"['back_glutes', 'front_quads']","['100.0%', '100.0%']",['Box']
band-straight-arm-pulldown,"['back_lats', 'back_hamstrings', 'front_shoulders']","['100.0%', '40.0%', '40.0%']",['Bands']
kettlebell-floor-y,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Kettlebell']
single-arm-underhand-lat-pulldown,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Machine']
machine-leg-press-calf-raise,['back_calves'],['100.0%'],['Machine']
figure-four-stretch,"['back_hip_abductors', 'back_hip_adductors', 'front_hip_abductors', 'front_hip_adductors', 'front_hip_flexors']","['100.0%', '100.0%', '100.0%', '100.0%', '100.0%']",['Bodyweight']
bosu-med-ball-sit-up,['front_abs'],['100.0%'],"['Bosu', 'Medball']"
bosu-med-ball-crunch,['front_abs'],['100.0%'],"['Bosu', 'Medball']"
clam-shell,"['back_glutes', 'back_hip_abductors', 'front_hip_abductors']","['40.0%', '100.0%', '100.0%']",['Bodyweight']
dumbbell-scapular-pull-up,"['back_hamstrings', 'front_biceps', 'front_traps']","['100.0%', '40.0%', '100.0%']","['Dumbbell', 'Pull-Up Bar']"
med-ball-front-raise,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Medball']
cable-face-pull,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Cables']
dumbbell-chest-supported-row,"['back_lats', 'back_hamstrings', 'front_biceps', 'front_traps']","['100.0%', '40.0%', '40.0%', '40.0%']","['Bench', 'Dumbbell']"
cable-hamstring-curl,['back_hamstrings'],['100.0%'],['Cables']
bosu-step-over,"['back_glutes', 'front_quads']","['40.0%', '100.0%']",['Bosu']
band-sumo-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Bands']
band-horizontal-to-vertical-row,"['back_lats', 'back_hamstrings', 'front_biceps', 'front_shoulders', 'front_traps']","['100.0%', '40.0%', '40.0%', '40.0%', '40.0%']",['Bands']
band-row-to-x,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '40.0%']",['Bands']
single-kettlebell-curl-switch,"['back_hamstrings', 'front_biceps', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%', '40.0%']",['Kettlebell']
med-ball-toe-touch-crunch,['front_abs'],['100.0%'],['Medball']
seated-dumbbell-figure-8,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Dumbbell']
band-leg-adduction,"['back_hip_adductors', 'front_hip_adductors']","['100.0%', '100.0%']",['Bands']
dip-position-leg-raise,"['back_hamstrings', 'front_abs', 'front_hip_flexors', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Dip Bar']
plank-reach-through,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Bodyweight']
dumbbell-standing-lumberjack,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%']",['Dumbbell']
dumbbell-curl-switch,"['back_hamstrings', 'front_biceps', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%', '40.0%']",['Dumbbell']
alternating-cable-lateral-raise,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Cables']
handstand,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '40.0%']",['Bodyweight']
incline-cable-row,"['back_lats', 'back_hamstrings', 'front_biceps', 'front_traps']","['100.0%', '40.0%', '40.0%', '40.0%']","['Bench', 'Cables']"
bosu-band-sit-up,['front_abs'],['100.0%'],"['Bands', 'Bosu']"
roll-out,"['back_lats', 'front_abs', 'front_obliques']","['40.0%', '100.0%', '40.0%']",['Bodyweight']
single-kettlebell-around-the-world,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Kettlebell']
kettlebell-chest-fly,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']","['Bench', 'Kettlebell']"
dumbbell-floor-i,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Dumbbell']
lat-roller,['back_lats'],['100.0%'],['Roller']
couch-stretch,"['front_hip_flexors', 'front_quads']","['100.0%', '100.0%']",['Bodyweight']
med-ball-yoga-ball-upper-body-windshield-wiper,"['back_hamstrings', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '40.0%']","['Yoga Ball', 'Medball']"
band-knee-drive,['front_hip_flexors'],['100.0%'],['Bands']
barbell-wide-bent-over-row,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Barbell']
dumbbell-trunk-rotation,"['front_abs', 'front_obliques']","['40.0%', '100.0%']",['Dumbbell']
staggered-stance-barbell-romanian-deadlift,"['back_glutes', 'back_lower_back', 'back_hamstrings']","['40.0%', '100.0%', '100.0%']",['Barbell']
half-kneeling-bottoms-up-single-kettlebell-press,"['back_hamstrings', 'front_abs', 'front_shoulders']","['100.0%', '40.0%', '100.0%']",['Kettlebell']
trx-push-up,"['back_hamstrings', 'front_chest']","['40.0%', '100.0%']",['trx']
bodyweight-forward-lunge-hold,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Bodyweight']
med-ball-crunch-and-press,"['back_hamstrings', 'front_abs', 'front_chest', 'front_shoulders']","['100.0%', '100.0%', '40.0%', '100.0%']",['Medball']
dragonflag,"['back_lats', 'front_abs', 'front_biceps', 'front_obliques']","['40.0%', '100.0%', '40.0%', '40.0%']",['Bodyweight']
kettlebell-front-rack-lunge,"['back_glutes', 'back_hamstrings', 'front_hip_flexors', 'front_quads']","['100.0%', '100.0%', '40.0%', '100.0%']",['Kettlebell']
band-split-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Bands']
kettlebell-curl-to-press,"['back_hamstrings', 'front_biceps', 'front_shoulders']","['100.0%', '100.0%', '100.0%']",['Kettlebell']
slow-bicycle,"['front_abs', 'front_obliques']","['100.0%', '100.0%']",['Bodyweight']
med-ball-lunge-and-press,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['100.0%', '100.0%', '100.0%', '100.0%']",['Medball']
west-side-bodyweight-box-squat,"['back_glutes', 'front_quads']","['100.0%', '100.0%']",['Bodyweight']
bodyweight-hip-thrust,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '40.0%', '40.0%']",['Bench']
single-kettlebell-sit-up,['front_abs'],['100.0%'],['Kettlebell']
half-kneeling-band-chest-fly-low-to-high,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']",['Bands']
seated-kettlebell-curl,['front_biceps'],['100.0%'],['Kettlebell']
band-tricep-extension,['back_hamstrings'],['100.0%'],['Bands']
med-ball-pistol-squat,"['back_glutes', 'front_quads']","['100.0%', '100.0%']",['Medball']
yoga-ball-kneeling-plank-circle,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '40.0%']",['Yoga Ball']
kettlebell-squat-hold,"['back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '40.0%', '100.0%']",['Kettlebell']
cable-incline-bench-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['100.0%', '100.0%', '100.0%']","['Bench', 'Cables']"
single-arm-dumbbell-overhead-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Dumbbell']
single-leg-kettlebell-deadlift-to-press,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_biceps', 'front_quads', 'front_shoulders']","['100.0%', '100.0%', '100.0%', '100.0%', '40.0%', '100.0%']",['Kettlebell']
standing-ankle-inversion-eversion,"['back_calves', 'front_tibialis']","['100.0%', '100.0%']",['Bodyweight']
single-arm-split-stance-cable-chest-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']",['Cables']
dumbbell-half-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '40.0%', '100.0%']",['Dumbbell']
lying-toe-touch,"['front_abs', 'front_obliques']","['100.0%', '100.0%']",['Bodyweight']
med-ball-power-step-up,"['back_glutes', 'front_quads']","['40.0%', '100.0%']","['Box', 'Medball']"
v-up,['front_abs'],['100.0%'],['Bodyweight']
band-skull-crusher,['back_hamstrings'],['100.0%'],"['Bands', 'Bench']"
band-overhead-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Bands']
seated-cable-row,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Cables']
glute-bridge-open-and-close,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '40.0%', '40.0%']",['Bodyweight']
chest-opener,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']",['Bodyweight']
leg-raise,"['front_abs', 'front_hip_flexors', 'front_obliques']","['100.0%', '100.0%', '40.0%']",['Bodyweight']
band-overhead-row,['back_lats'],['100.0%'],['Bands']
trx-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '40.0%', '100.0%']",['trx']
calf-stretch,['back_calves'],['100.0%'],['Bodyweight']
crab-toe-touch,"['back_hamstrings', 'front_hip_flexors', 'front_shoulders']","['100.0%', '40.0%', '100.0%']",['Bodyweight']
box-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Bodyweight']
med-ball-lunge-to-donkey-kick,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Medball']
bodyweight-half-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '40.0%', '100.0%']",['Bodyweight']
kneeling-fire-hydrant,"['back_glutes', 'back_hip_abductors', 'front_hip_abductors', 'front_hip_flexors']","['40.0%', '100.0%', '100.0%', '40.0%']",['Bodyweight']
yoga-ball-plank,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '40.0%']",['Yoga Ball']
dumbbell-decline-bench-press,"['back_hamstrings', 'front_chest']","['40.0%', '100.0%']","['Bench', 'Dumbbell']"
west-side-med-ball-box-squat,"['back_glutes', 'front_quads']","['100.0%', '100.0%']",['Medball']
single-kettlebell-push-up-with-drag,"['back_hamstrings', 'front_abs', 'front_chest', 'front_obliques', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '40.0%', '100.0%']",['Bodyweight']
med-ball-plie-squat-to-calf-raise,"['back_calves', 'back_glutes', 'front_quads']","['40.0%', '40.0%', '100.0%']",['Medball']
pistol-squat,"['back_glutes', 'front_quads']","['100.0%', '100.0%']",['Bodyweight']
ball-table-top-crunch,"['back_hamstrings', 'front_abs', 'front_shoulders']","['40.0%', '100.0%', '40.0%']",['Bodyweight']
neck-stretch,"['back_neck', 'front_neck']","['100.0%', '100.0%']",['Bodyweight']
dumbbell-lateral-lunge,"['back_glutes', 'back_hip_abductors', 'front_hip_abductors', 'front_quads']","['100.0%', '40.0%', '40.0%', '100.0%']",['Dumbbell']
ez-bar-curl,['front_biceps'],['100.0%'],['EZ Curl Bar']
dumbbell-overhead-squat,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%']",['Dumbbell']
dumbbell-goblet-squat,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '40.0%']",['Dumbbell']
bodyweight-hip-thrust-hold,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '40.0%', '40.0%']",['Bench']
band-overhead-squat,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%']",['Bands']
machine-crunch,['front_abs'],['100.0%'],['Machine']
bodyweight-step-up,"['back_glutes', 'front_quads']","['100.0%', '100.0%']",['Box']
kettlebell-floor-chest-fly,['front_chest'],['100.0%'],['Kettlebell']
diamond-push-up,"['back_hamstrings', 'front_chest']","['100.0%', '100.0%']",['Bodyweight']
windmill,"['back_lower_back', 'back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '100.0%', '100.0%']",['Bands']
weighted-pull-up,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Pull-Up Bar']
kettlebell-toe-touch-crunch,['front_abs'],['100.0%'],['Kettlebell']
single-leg-wall-sit,"['back_glutes', 'front_quads']","['100.0%', '100.0%']",['Bodyweight']
machine-leg-press,"['back_glutes', 'front_quads']","['100.0%', '100.0%']",['Machine']
unilateral-barbell-landmine-row,"['back_lats', 'back_hamstrings', 'front_biceps', 'front_traps']","['100.0%', '40.0%', '40.0%', '40.0%']","['Barbell', 'Landmine']"
shadow-boxing,"['back_hamstrings', 'front_chest', 'front_shoulders']","['100.0%', '40.0%', '100.0%']",['Bodyweight']
kettlebell-arnold-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Kettlebell']
ghd-sit-up,"['front_abs', 'front_obliques']","['100.0%', '40.0%']",['Bodyweight']
wall-walk-out,"['back_hamstrings', 'front_abs', 'front_shoulders']","['100.0%', '40.0%', '100.0%']",['Bodyweight']
cable-internal-rotation,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Cables']
cat-cow,"['back_lower_back', 'front_abs']","['100.0%', '100.0%']",['Bodyweight']
staggered-stance-band-romanian-deadlift,"['back_glutes', 'back_lower_back', 'back_hamstrings']","['40.0%', '100.0%', '100.0%']",['Bands']
bodyweight-step-up-to-lateral-leg-raise,"['back_glutes', 'back_hip_abductors', 'front_hip_abductors', 'front_quads']","['100.0%', '40.0%', '40.0%', '100.0%']",['Box']
ladder-lateral-high-knee,"['back_calves', 'front_hip_flexors']","['40.0%', '100.0%']",['Ladder']
slider-hamstring-curl,"['back_glutes', 'back_lower_back', 'back_hamstrings']","['40.0%', '40.0%', '100.0%']",['Bodyweight']
chin-up,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Pull-Up Bar']
single-kettlebell-side-plank-dip,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%']",['Kettlebell']
single-leg-donkey-kick,"['back_glutes', 'back_hamstrings']","['100.0%', '100.0%']",['Bodyweight']
single-kettlebell-standing-lumberjack,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%']",['Kettlebell']
kettlebell-front-squat,"['back_glutes', 'back_hamstrings', 'front_hip_flexors', 'front_quads']","['100.0%', '100.0%', '40.0%', '100.0%']",['Kettlebell']
kettlebell-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '40.0%', '100.0%']",['Kettlebell']
barbell-front-rack-lunge,"['back_glutes', 'back_hamstrings', 'front_hip_flexors', 'front_quads']","['100.0%', '100.0%', '40.0%', '100.0%']",['Barbell']
kettlebell-lying-alternating-arm-leg-reach,"['back_hamstrings', 'front_abs', 'front_hip_flexors', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '100.0%']",['Kettlebell']
banana-hold,"['front_abs', 'front_obliques']","['100.0%', '40.0%']",['Bodyweight']
half-band-curl,['front_biceps'],['100.0%'],['Bands']
med-ball-clean-and-press,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads', 'front_shoulders', 'front_traps']","['100.0%', '40.0%', '100.0%', '100.0%', '100.0%', '100.0%']",['Medball']
glute-roller,['back_glutes'],['100.0%'],['Roller']
half-kneeling-barbell-landmine-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']","['Barbell', 'Landmine']"
kettlebell-thruster,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '100.0%']",['Kettlebell']
half-kneeling-band-trunk-rotation,"['front_abs', 'front_obliques']","['40.0%', '100.0%']",['Bands']
bodyweight-side-bend,['front_obliques'],['100.0%'],['Bodyweight']
bodyweight-step-up-to-reverse-lunge,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Box']
lying-leg-raise,"['front_abs', 'front_hip_flexors']","['100.0%', '40.0%']",['Bodyweight']
cable-kickback,['back_hamstrings'],['100.0%'],['Cables']
hanging-windshield-wiper,"['front_abs', 'front_biceps', 'front_hip_flexors', 'front_obliques']","['100.0%', '40.0%', '100.0%', '100.0%']",['Pull-Up Bar']
seal-crunch,"['front_abs', 'front_hip_flexors']","['100.0%', '40.0%']",['Bodyweight']
barbell-good-morning,"['back_glutes', 'back_lower_back', 'back_hamstrings']","['100.0%', '100.0%', '100.0%']",['Barbell']
band-decline-sit-up,['front_abs'],['100.0%'],"['Bands', 'Bench']"
med-ball-goblet-squat,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '40.0%']",['Medball']
